case_id,symptom,topology_note,show_command_outputs,expected_fault,osi_layer,concept_tag,severity,source
CASE001,PC in VLAN 30 cannot reach PCs in VLAN 10 even though inter-VLAN routing is configured on router-on-a-stick,Router R1 has subinterfaces Gi0/0.10 and Gi0/0.30; SW1 trunk to R1,"show vlan brief: VLAN 10 active Fa0/1-5; VLAN 20 active Fa0/6-10; VLAN 30 not found in table. show interfaces trunk: Gi0/1 trunking VLANs allowed 1-29. show ip interface brief: Gi0/0.10 up/up 192.168.10.1; Gi0/0.30 up/up 192.168.30.1",VLAN 30 missing from VLAN database; trunk not allowing VLAN 30,Layer 2 - Data Link,VLAN Misconfiguration,High,Lab-Design-A
CASE002,All PCs in VLAN 20 get IP 169.254.x.x addresses,SW2 has DHCP server configured on VLAN 20 SVI,"show ip dhcp pool: Pool VLAN20 network 192.168.20.0/24 default-router 192.168.20.1 dns-server 8.8.8.8. show ip dhcp binding: No bindings. show interfaces vlan 20: Vlan20 is up line protocol is down",DHCP pool exists but VLAN 20 SVI is down so DISCOVER never reaches server,Layer 3 - Network,DHCP Failure,High,Lab-Design-A
CASE003,PC0 can ping its default gateway but cannot reach 8.8.8.8 or any external IP,Small office topology with ISP router; NAT overload configured on border router,"show ip nat translations: Pro Inside global Inside local Outside local Outside global — empty table. show running-config interface Gi0/1: ip nat inside missing. show access-lists 10: permit 192.168.1.0 0.0.0.255",NAT inside not applied to LAN interface Gi0/1,Layer 3 - Network,NAT Misconfiguration,High,Lab-Design-B
CASE004,Users can ping by IP but not by hostname; nslookup returns timeout,SOHO network; DNS server 192.168.1.253 configured in DHCP pool,"show ip dhcp pool: dns-server 192.168.1.253. ping 192.168.1.253: Success rate 0%. show ip arp: 192.168.1.253 incomplete",DNS server IP unreachable; host is down or misconfigured,Layer 7 - Application,DNS Failure,Medium,Lab-Design-B
CASE005,PC in 10.0.0.0/24 cannot reach server in 172.16.0.0/24; router has two interfaces,R1 is directly connected to both subnets,"show ip route: 10.0.0.0/24 C directly connected Gi0/0; 172.16.0.0/24 C directly connected Gi0/1. show ip interface brief: Gi0/0 10.0.0.1 up/down; Gi0/1 172.16.0.1 up/up. show interfaces Gi0/0: Gi0/0 is up line protocol is down — cable unplugged",Gi0/0 line protocol down due to Layer 1 issue; no route usable,Layer 1 - Physical,Routing Problems,High,Lab-Design-C
CASE006,SSH from management PC to SW3 is refused; Telnet works fine,SW3 has both Telnet and SSH configured,"show line vty 0 4: transport input telnet. show ip ssh: SSH enabled version 2.0. show running-config: line vty 0 4 transport input telnet",VTY lines not configured to accept SSH; transport input telnet only,Layer 7 - Application,ACL Blocking,Low,Lab-Design-C
CASE007,Wireless clients associate to AP but get no IP address,AP connected to SW1 Fa0/24 in access mode VLAN 1; DHCP on R1,"show ip dhcp pool: Pool WIRELESS network 192.168.50.0/24. show interfaces Fa0/24 switchport: Access Mode VLAN 1. show vlan brief: VLAN 50 active Fa0/20-23",AP port in VLAN 1 but DHCP pool is for VLAN 50; client DISCOVERs wrong VLAN,Layer 2 - Data Link,Wireless/SSID Security,High,Lab-Design-D
CASE008,Guest SSID clients can reach each other and corporate servers; isolation not working,Dual-SSID AP; corporate SSID on VLAN 10; guest SSID on VLAN 20,"show running-config: dot11 ssid GUEST vlan 20 guest-mode. show vlan brief: VLAN 20 active Fa0/15. show ip route: 192.168.10.0/24 C Gi0/0.10; 192.168.20.0/24 C Gi0/0.20. show access-lists: empty",No ACL preventing guest VLAN 20 from reaching VLAN 10; inter-VLAN routing allows full access,Layer 3 - Network,Wireless/SSID Security,High,Lab-Design-D
CASE009,PC1 (192.168.1.10) cannot ping PC2 (192.168.1.20); both in same VLAN 1,Both PCs on SW1; no router involved,"show ip interface brief: VLAN1 192.168.1.254 up/up. show mac address-table: 0001.0001.0001 Fa0/1; 0002.0002.0002 Fa0/3. show interfaces Fa0/2: Fa0/2 is administratively down",PC2 connected to Fa0/2 which is shut down; Layer 2 connectivity broken,Layer 2 - Data Link,VLAN Misconfiguration,Medium,Lab-Design-A
CASE010,All 30 PCs on floor 2 suddenly lose connectivity after switch config change,Access layer SW2 reconfigured by junior admin,"show vlan brief: VLAN 1 active Fa0/1-24. show interfaces trunk: no trunk interfaces found. show running-config SW2: switchport mode access on all uplink ports",Uplink port to distribution switch changed from trunk to access; all inter-VLAN traffic blocked,Layer 2 - Data Link,VLAN Misconfiguration,Critical,Lab-Design-E
CASE011,PC cannot obtain IP via DHCP; DHCP server is on a different subnet,DHCP relay (ip helper-address) scenario,"show ip interface brief: Gi0/0 192.168.1.1 up/up. show running-config Gi0/0: no ip helper-address configured. show ip dhcp binding: empty. ping 10.10.10.10: Success rate 100%",ip helper-address not configured on router interface facing client subnet,Layer 3 - Network,DHCP Failure,High,Lab-Design-F
CASE012,PC gets correct IP from DHCP but cannot reach default gateway 192.168.1.1,DHCP pool has wrong default-router configured,"show ip dhcp pool: default-router 192.168.1.254. show ip interface brief: Gi0/0 192.168.1.1 up/up. ipconfig: Default Gateway 192.168.1.254. ping 192.168.1.254: Request timeout",DHCP pool advertises .254 as gateway but router SVI is .1; no host at .254,Layer 3 - Network,Default Gateway Issues,Medium,Lab-Design-F
CASE013,PC0 can reach 192.168.2.0/24 but not 10.0.0.0/8; static route exists,R1 has static route to 10.0.0.0/8 but next-hop is wrong,"show ip route: S 10.0.0.0/8 [1/0] via 192.168.99.2. show ip arp: 192.168.99.2 incomplete. show interfaces Serial0/0/0: Serial0/0/0 is up line protocol is up 192.168.99.1/30",Next-hop 192.168.99.2 not reachable (ARP incomplete on serial link; should use exit interface),Layer 3 - Network,Routing Problems,Medium,Lab-Design-G
CASE014,Web server in DMZ is unreachable from internet; NAT static entry exists,PAT plus static NAT for web server 192.168.10.100,"show ip nat translations: tcp 203.0.113.1:80 --- 192.168.10.100:80. show access-lists 101: deny tcp any host 192.168.10.100 eq 80. show interfaces Gi0/0: ip access-group 101 in",ACL 101 denies TCP port 80 inbound before NAT translation is applied,Layer 3 - Network,ACL Blocking,High,Lab-Design-G
CASE015,R2 does not see routes to 172.16.0.0/16 via OSPF; adjacency is up,OSPF area 0; R1 and R2 directly connected,"show ip ospf neighbor: 10.0.0.1 FULL/DR. show ip route: no OSPF routes. show ip ospf interface Gi0/1: network type BROADCAST hello 10 dead 40. show running-config R1: network 172.16.0.0 0.0.255.255 area 1",172.16.0.0/16 advertised into area 1 on R1 but inter-area route not propagating because ABR missing,Layer 3 - Network,Routing Problems,High,Lab-Design-H
CASE016,EIGRP neighborship flaps every 15 seconds between R1 and R2,EIGRP AS 100,"show ip eigrp neighbors: 10.1.1.2 H 0 Uptime 00:00:12. show running-config R1: ip hello-interval eigrp 100 5; ip hold-time eigrp 100 10. show running-config R2: ip hello-interval eigrp 100 15; ip hold-time eigrp 100 15",R2 hold-time (15s) barely exceeds R1 hello (5s) but R1 hold-time (10s) less than R2 hello (15s); neighborship resets,Layer 3 - Network,Routing Problems,Medium,Lab-Design-H
CASE017,PC in 192.168.10.0/24 gets IP correctly but cannot ping 192.168.10.1 gateway,Default gateway 192.168.10.1 is a router subinterface,"show ip interface brief: Gi0/0.10 192.168.10.1 up/up. show interfaces Gi0/0: Gi0/0 is administratively down. show interfaces Gi0/0.10: Gi0/0.10 is up line protocol is down",Parent interface Gi0/0 is shut; subinterfaces inherit down state even though shown as up/down,Layer 3 - Network,Default Gateway Issues,High,Lab-Design-A
CASE018,Clients behind NAT get response from google.com but not from 192.168.100.0/24 internal server,Hairpin NAT / NAT loopback needed for internal server accessed by FQDN,"show ip nat translations: tcp 203.0.113.5:80 --- 192.168.100.5:80 only from outside. show running-config: no ip nat inside source static — loopback not configured. ping 192.168.100.5 from R1: success",NAT loopback not configured; inside clients trying to reach server via public IP get dropped,Layer 3 - Network,NAT Misconfiguration,Medium,Lab-Design-B
CASE019,Extended ACL blocks all traffic from 192.168.5.0/24 to 10.0.0.0/8 but also blocks ICMP returns,ACL applied outbound on wrong interface,"show access-lists 110: 10 permit tcp 192.168.5.0 0.0.0.255 10.0.0.0 0.255.255.255 established; 20 deny ip 192.168.5.0 0.0.0.255 10.0.0.0 0.255.255.255; 30 permit ip any any. show ip interface: Gi0/1 outbound ACL 110",ACL sequence wrong; established check on line 10 means new sessions hit deny on line 20; should flip order,Layer 3 - Network,ACL Blocking,High,Lab-Design-C
CASE020,New PC added to VLAN 40 cannot communicate; all other VLANs working,VLAN 40 created on SW1 but not on SW2,"show vlan brief SW1: VLAN 40 active Fa0/20. show vlan brief SW2: VLAN 40 not found. show interfaces trunk: SW1 Gi0/1 trunking allowed VLANs 1-39",VLAN 40 not in trunk allowed list between SW1 and SW2; also missing on SW2,Layer 2 - Data Link,VLAN Misconfiguration,Medium,Lab-Design-E
CASE021,DHCP clients on VLAN 10 get addresses from wrong pool intended for VLAN 20,Two DHCP pools on same router; VLANs share physical interface,"show ip dhcp pool VLAN10: network 192.168.10.0/24 default-router 192.168.10.1. show ip dhcp pool VLAN20: network 192.168.20.0/24 default-router 192.168.20.1. show ip interface brief: no VLAN 10 SVI; Gi0/0.20 192.168.20.1",VLAN 10 SVI missing; DHCP discovers land on wrong subinterface matching VLAN 20 pool,Layer 3 - Network,DHCP Failure,High,Lab-Design-F
CASE022,Router cannot find DNS entry for internal domain corp.local; external DNS works,Split-DNS setup; internal DNS 192.168.1.10,"show ip name-server: 8.8.8.8 8.8.4.4. show hosts: no static entries. ping 192.168.1.10: success. nslookup corp.local 192.168.1.10: answer 192.168.1.50",Router ip name-server only lists public DNS; internal DNS 192.168.1.10 not configured,Layer 7 - Application,DNS Failure,Low,Lab-Design-B
CASE023,Wireless client connects to SSID but cannot reach internet; wired clients fine,AP in autonomous mode; WPA2-PSK SSID HOME,"show dot11 associations: aa:bb:cc:dd:ee:ff associated. show interfaces Dot11Radio0: Dot11Radio0 is up line protocol is up. show ip route: 0.0.0.0/0 not found. show ip interface brief: BVI1 192.168.1.254 up/up; no default route",AP missing default route; BVI1 has LAN IP but no gateway or default route configured,Layer 3 - Network,Wireless/SSID Security,Medium,Lab-Design-D
CASE024,WPA2-Enterprise clients prompted for certificate but AP not rejecting wrong password users,RADIUS server integration issue,"show running-config: dot11 ssid CORP authentication open eap RADIUS_GROUP. show radius server-group RADIUS_GROUP: server 192.168.1.20. ping 192.168.1.20: success rate 0%",RADIUS server unreachable (ping fails); AP falls back to open auth allowing anyone,Layer 7 - Application,Wireless/SSID Security,Critical,Lab-Design-D
CASE025,PC1 10.10.10.10/24 cannot ping PC2 10.10.10.20/24 on same switch; both show connected,"Two PCs on SW1 in VLAN 1; SW1 is layer 2 only","show mac address-table: 0001.0001.0001 Fa0/1; 0002.0002.0002 Fa0/2. show interfaces Fa0/1: Fa0/1 is up/up. show interfaces Fa0/2: Fa0/2 is up/up. show vlan brief: VLAN 1 active Fa0/1 Fa0/2. ipconfig PC1: 10.10.10.10/24 gw 10.10.10.1. ipconfig PC2: 10.10.10.20/255.255.0.0",Subnet mask mismatch; PC1 /24 sees PC2 /16 — PC2 responds from different broadcast domain,Layer 3 - Network,Default Gateway Issues,Medium,Lab-Design-A
CASE026,All PCs get 169.254.x.x; DHCP server is on R1 Gi0/0 192.168.1.1/24,"10 PCs on SW1 connected to R1","show ip dhcp pool: network 192.168.1.0 255.255.255.0 default-router 192.168.1.1. show ip dhcp excluded-address: 192.168.1.1 192.168.1.200. show ip dhcp binding: empty. show ip interface brief Gi0/0: up/up",Excluded range covers .1 to .200; pool only has .201-.254 — pool exhaustion unlikely with 10 PCs; check excluded range is accidentally too wide leaving no allocatable addresses (.201-.254 = 54 addresses — actually valid). Recheck: excluded 192.168.1.1 192.168.1.254 — full range excluded leaving zero allocatable addresses,Layer 3 - Network,DHCP Failure,High,Lab-Design-F
CASE027,NAT translations table shows entries but ISP router drops returning packets,PAT configured; ISP router has route back to 10.0.0.0/8,"show ip nat translations: udp 203.0.113.10:1024 --- 10.0.0.5:1024. show ip route on ISP: 10.0.0.0/8 via 203.0.113.1. show interfaces Gi0/0 on border router: ip address 203.0.113.1 255.255.255.0",ISP has route back to 10.0.0.0/8 sourced from border router; returning packets hit NAT but inside global 203.0.113.10 not owned by this router — wrong outside global IP in NAT,Layer 3 - Network,NAT Misconfiguration,High,Lab-Design-G
CASE028,After adding ACL to filter Telnet traffic permit-any at end of ACL was removed,SW1 management ACL modified,"show access-lists 10: 10 deny tcp any any eq 23. show ip interface vlan1: inbound ACL 10. show interfaces vlan1: up/up",ACL 10 has only deny statement; implicit deny-all blocks everything including ICMP and DHCP — permit any any missing,Layer 3 - Network,ACL Blocking,Critical,Lab-Design-C
CASE029,R1 has two paths to 192.168.50.0/24 via OSPF; traffic always takes the slower serial link,OSPF cost not manually set; both paths in routing table,"show ip route: O 192.168.50.0/24 [110/65] via 10.0.0.2 Serial0/0; O 192.168.50.0/24 [110/2] via 10.1.1.2 Gi0/1. show ip ospf interface Serial0/0: cost 64. show ip ospf interface Gi0/1: cost 1",OSPF load-balances over both paths; but if traffic always uses serial the routing table shows equal cost — actually costs are 65 vs 2; lower metric via Gi0/1 should win. Likely CEF / per-flow hashing sending one flow to serial,Layer 3 - Network,Routing Problems,Low,Lab-Design-H
CASE030,PC in 192.168.1.0/24 can reach internet but cannot reach 192.168.2.0/24 server,"Two LANs on R1; both directly connected","show ip route: C 192.168.1.0/24 Gi0/0; C 192.168.2.0/24 Gi0/1. show ip interface brief: Gi0/0 up/up; Gi0/1 up/up. show access-lists 100: 10 permit ip 192.168.1.0 0.0.0.255 host 8.8.8.8; 20 deny ip 192.168.1.0 0.0.0.255 192.168.2.0 0.0.0.255; 30 permit ip any any. show ip interface Gi0/0: outbound ACL 100",ACL 100 explicitly denies 192.168.1.0 to 192.168.2.0 on Gi0/0 outbound,Layer 3 - Network,ACL Blocking,Medium,Lab-Design-C
CASE031,SW1 VLAN 10 SVI is up but hosts cannot reach router in VLAN 20,"Layer 3 switch doing inter-VLAN routing; ip routing enabled","show ip interface brief: Vlan10 192.168.10.1 up/up; Vlan20 192.168.20.1 up/up. show vlan brief: VLAN 10 Fa0/1-5; VLAN 20 Fa0/6-10. show ip route: C 192.168.10.0/24; C 192.168.20.0/24. ipconfig on VLAN10 host: default gateway 192.168.20.1",Host default gateway wrong; VLAN 10 host configured with VLAN 20 SVI IP as gateway,Layer 3 - Network,Default Gateway Issues,Medium,Lab-Design-A
CASE032,DNS queries succeed from router but fail from client PC; same DNS server configured,SOHO; DNS 8.8.8.8 in DHCP and static on router,"show ip dhcp pool: dns-server 8.8.8.8. ipconfig PC: DNS 8.8.8.8. ping 8.8.8.8 from PC: success. show access-lists 150: deny udp any any eq 53. show ip interface Gi0/0: inbound ACL 150",ACL 150 blocking UDP port 53 inbound on LAN interface; DNS queries from PCs dropped,Layer 7 - Application,DNS Failure,High,Lab-Design-B
CASE033,WPA2-PSK clients connect to SSID CORP but session drops every 2 minutes,Autonomous AP; TKIP encryption selected,"show running-config: encryption mode ciphers tkip. show dot11 associations: Auth-Alg Open; Cipher-type TKIP. show interfaces Dot11Radio0: dot11 ssid CORP authentication shared",TKIP known vulnerable and incompatible with some clients; 802.11n drops to 54Mbps; shared key auth with TKIP causes periodic re-keying failures,Layer 2 - Data Link,Wireless/SSID Security,Medium,Lab-Design-D
CASE034,Two routers R1 and R2 both claim IP 10.0.0.1; duplicate IP detected,"R1 and R2 on same segment; both configured /30 same address","show ip interface brief R1: Gi0/0 10.0.0.1/30. show ip interface brief R2: Gi0/0 10.0.0.1/30. show ip arp R1: Internet 10.0.0.1 0011.2233.4455. show ip arp R2: Internet 10.0.0.1 aabb.ccdd.eeff — conflict",Duplicate IP 10.0.0.1 on same segment; ARP conflict causes intermittent drops,Layer 3 - Network,Routing Problems,Critical,Lab-Design-G
